dataset,smoothing_method,parameter,perplexity
validation_vocab_size_5104,add_k,k=5.0,1676.3316178011096
validation_vocab_size_5104,linear_interpolation,lambda=0.1,407.1257933190467
validation_vocab_size_5104,linear_interpolation,lambda=0.3,380.96292248332617
validation_vocab_size_5104,linear_interpolation,lambda=0.5,387.54836475895553
validation_vocab_size_5104,linear_interpolation,lambda=0.7,423.0342276710326
validation_vocab_size_5104,linear_interpolation,lambda=0.9,527.6200410908955
train_80%_vocab_size_5104,add_k,k=0.1,171.35273780480037
train_80%_vocab_size_5104,add_k,k=0.5,476.6453711018965
train_80%_vocab_size_5104,add_k,k=1.0,749.8222223981304
train_80%_vocab_size_5104,add_k,k=2.0,1144.117185240735
train_80%_vocab_size_5104,add_k,k=5.0,1847.3040056965135
train_80%_vocab_size_5104,linear_interpolation,lambda=0.1,421.03100180547
train_80%_vocab_size_5104,linear_interpolation,lambda=0.3,394.3289646443523
train_80%_vocab_size_5104,linear_interpolation,lambda=0.5,399.2963089306106
train_80%_vocab_size_5104,linear_interpolation,lambda=0.7,433.3237273295394
train_80%_vocab_size_5104,linear_interpolation,lambda=0.9,535.7520182594556
internal_val_vocab_size_5104,add_k,k=0.1,343.79442406106523
internal_val_vocab_size_5104,add_k,k=0.5,656.3317214922138
internal_val_vocab_size_5104,add_k,k=1.0,917.6639497994732
internal_val_vocab_size_5104,add_k,k=2.0,1286.034827580381
internal_val_vocab_size_5104,add_k,k=5.0,1942.5605014117205
internal_val_vocab_size_5104,linear_interpolation,lambda=0.1,432.35949117355864
internal_val_vocab_size_5104,linear_interpolation,lambda=0.3,414.8187101459854
internal_val_vocab_size_5104,linear_interpolation,lambda=0.5,430.4992322187884
internal_val_vocab_size_5104,linear_interpolation,lambda=0.7,479.7211234626962
internal_val_vocab_size_5104,linear_interpolation,lambda=0.9,615.6188906187631
train_full_vocab_size_5104,add_k,k=0.1,158.9660007391278
train_full_vocab_size_5104,add_k,k=0.5,424.79421265432387
train_full_vocab_size_5104,add_k,k=1.0,664.0645878049851
train_full_vocab_size_5104,add_k,k=2.0,1015.7087377126844
train_full_vocab_size_5104,add_k,k=5.0,1664.1664622286971
train_full_vocab_size_5104,linear_interpolation,lambda=0.1,409.9982177460548
train_full_vocab_size_5104,linear_interpolation,lambda=0.3,376.8460927414432
train_full_vocab_size_5104,linear_interpolation,lambda=0.5,376.4724680010291
train_full_vocab_size_5104,linear_interpolation,lambda=0.7,402.95742739422457
train_full_vocab_size_5104,linear_interpolation,lambda=0.9,488.3160596404875
validation_vocab_size_5104,add_k,k=0.1,285.19063656111206
validation_vocab_size_5104,add_k,k=0.5,540.0158198179763
validation_vocab_size_5104,add_k,k=1.0,759.1701135906086
validation_vocab_size_5104,add_k,k=2.0,1078.4403854145266
validation_vocab_size_5104,add_k,k=5.0,1676.3316178011096
validation_vocab_size_5104,linear_interpolation,lambda=0.1,407.1257933190467
validation_vocab_size_5104,linear_interpolation,lambda=0.3,380.96292248332617
validation_vocab_size_5104,linear_interpolation,lambda=0.5,387.54836475895553
validation_vocab_size_5104,linear_interpolation,lambda=0.7,423.0342276710326
validation_vocab_size_5104,linear_interpolation,lambda=0.9,527.6200410908955
